日期,基金代码,动量值
2021-04-07,sz159915,103.83582662063700
2021-04-07,sz159992,106.87500000000000
2021-04-07,sh512690,106.9364161849710
2021-04-08,sz159915,102.9433962264150
2021-04-08,sz159992,105.53449583017400
2021-04-08,sh512690,105.78084555651400
2021-04-09,sz159915,104.30399379604500
2021-04-09,sz159992,105.25096525096500
2021-04-09,sh512690,105.60954063604200
2021-04-12,sz159915,100.76716532412700
2021-04-12,sz159992,101.60305343511400
2021-04-12,sh512690,104.7954245490540
2021-04-13,sz159915,102.71423032183000
2021-04-13,sz159992,102.75439938791100
2021-04-13,sh512690,105.86690017513100
2021-04-14,sz159915,106.44907589461300
2021-04-14,sz159992,103.93518518518500
2021-04-14,sh512690,107.12412587412600
2021-04-15,sz159915,105.10323334631900
2021-04-15,sz159992,103.06044376434600
