datetime,open,rate
2018-12-03,0.9646,2.5189
2018-12-04,0.9731,0.8812
2018-12-05,0.9733,0.0206
2018-12-06,0.9565,-1.7261
2018-12-07,0.9598,0.345
2018-12-10,0.9538,-0.6251
2018-12-11,0.9595,0.5976
2018-12-12,0.9582,-0.1355
2018-12-13,0.965,0.7097
2018-12-14,0.9489,-1.6684
2018-12-17,0.9485,-0.0422
2018-12-18,0.9441,-0.4639
2018-12-19,0.9322,-1.2605
2018-12-20,0.9379,0.6115
2018-12-21,0.9343,-0.3838
2018-12-24,0.9497,1.6483
2018-12-25,0.9481,-0.1685
2018-12-26,0.9433,-0.5063
2018-12-27,0.9372,-0.6467
2018-12-28,0.9329,-0.4588
2018-12-31,0.9327,0
2019-01-02,0.9249,-0.8575
2019-01-03,0.9125,-1.3407
2019-01-04,0.9303,1.9507
2019-01-07,0.9464,1.7306
2019-01-08,0.9521,0.6023
2019-01-09,0.953,0.0945
2019-01-10,0.9521,-0.0944
2019-01-11,0.9585,0.6722
2019-01-14,0.9504,-0.8451
2019-01-15,0.9649,1.5257
2019-01-16,0.9641,-0.0829
2019-01-17,0.9553,-0.9128
2019-01-18,0.9602,0.5129
2019-01-21,0.9747,1.5101
2019-01-22,0.9627,-1.2311
2019-01-23,0.9628,0.0104
2019-01-24,0.9771,1.4853
2019-01-25,0.9861,0.9211
2019-01-28,0.9976,1.1662
2019-01-29,0.9912,-0.6415
2019-01-30,0.9851,-0.6154
2019-01-31,0.9854,0.0305
2019-02-01,1.0122,2.7197
2019-02-11,1.0382,2.5687
2019-02-12,1.0374,-0.0771
2019-02-13,1.0506,1.2724
2019-02-14,1.0642,1.2945
2019-02-15,1.0532,-1.0336
2019-02-18,1.0863,3.1428
2019-02-19,1.0858,-0.046
2019-02-20,1.09,0.3868
2019-02-21,1.0886,-0.1284
2019-02-22,1.1117,2.122
2019-02-25,1.17,5.2442
2019-02-26,1.1642,-0.4957
2019-02-27,1.141,-1.9928
2019-02-28,1.1576,1.4549
2019-03-01,1.1698,1.0539
2019-03-04,1.1949,2.1457
2019-03-05,1.2223,2.2931
2019-03-06,1.2353,1.0636
2019-03-07,1.2428,0.6071
2019-03-08,1.1979,-3.6128
2019-03-11,1.2565,4.8919
2019-03-12,1.2873,2.4513
2019-03-13,1.2628,-1.9032
2019-03-14,1.239,-1.8847
2019-03-15,1.2496,0.8555
2019-03-18,1.2723,1.8166
2019-03-19,1.2724,0.0079
2019-03-20,1.2731,0.055
2019-03-21,1.2879,1.1625
2019-03-22,1.2891,0.0932
2019-03-25,1.2802,-0.6904
2019-03-26,1.2557,-1.9138
2019-03-27,1.2729,1.3698
2019-03-28,1.2543,-1.4612
2019-03-29,1.2826,2.2562
2019-04-01,1.3422,4.6468
2019-04-02,1.3542,0.8941
2019-04-03,1.3701,1.1741
2019-04-04,1.3862,1.1751
2019-04-08,1.3923,0.4401
2019-04-09,1.3877,-0.3304
2019-04-10,1.3906,0.209
2019-04-11,1.3647,-1.8625
2019-04-12,1.3684,0.2711
2019-04-15,1.3666,-0.1315
2019-04-16,1.3896,1.683
2019-04-17,1.3961,0.4678
2019-04-18,1.3889,-0.5157
2019-04-19,1.3832,-0.4104
2019-04-22,1.3754,-0.5639
2019-04-23,1.3655,-0.7198
2019-04-24,1.3696,0.3003
2019-04-25,1.3269,-3.1177
2019-04-26,1.3067,-1.5223
2019-04-29,1.2787,-2.1428
2019-04-30,1.2807,0.1564
2019-05-06,1.1982,-6.4418
2019-05-07,1.1987,0.0417
2019-05-08,1.1961,-0.2169
2019-05-09,1.1712,-2.0818
2019-05-10,1.2073,3.0823
2019-05-13,1.194,-1.1016
2019-05-14,1.1836,-0.871
2019-05-15,1.2107,2.2896
2019-05-16,1.2175,0.5617
2019-05-17,1.1929,-2.0205
2019-05-20,1.1782,-1.2323
2019-05-21,1.1911,1.0949
2019-05-22,1.1874,-0.3106
2019-05-23,1.166,-1.8023
2019-05-24,1.1593,-0.5746
2019-05-27,1.1904,2.6827
2019-05-28,1.1874,-0.252
2019-05-29,1.191,0.3032
2019-05-30,1.1792,-0.9908
2019-05-31,1.1823,0.2629
2019-06-03,1.1694,-1.0911
2019-06-04,1.1614,-0.6841
2019-06-05,1.1519,-0.818
2019-06-06,1.1332,-1.6234
2019-06-10,1.1448,1.0236
2019-06-11,1.1732,2.4808
2019-06-12,1.1699,-0.2813
2019-06-13,1.1746,0.4017
2019-06-14,1.1603,-1.2174
2019-06-17,1.1534,-0.5947
2019-06-18,1.1563,0.2514
2019-06-19,1.1707,1.2454
2019-06-20,1.1896,1.6144
2019-06-21,1.2138,2.0343
2019-06-24,1.2099,-0.3213
2019-06-25,1.2068,-0.2562
2019-06-26,1.2137,0.5718
2019-06-27,1.2346,1.722
2019-06-28,1.2183,-1.3203
2019-06-30,1.2182,0
2019-07-01,1.2483,2.4624
2019-07-02,1.2475,-0.0641
2019-07-03,1.2317,-1.2665
2019-07-04,1.2308,-0.0731
2019-07-05,1.2385,0.6256
2019-07-08,1.2029,-2.8744
2019-07-09,1.2056,0.2245
2019-07-10,1.2081,0.2074
2019-07-11,1.1999,-0.6788
2019-07-12,1.2078,0.6584
2019-07-15,1.2272,1.6062
2019-07-16,1.2199,-0.5949
2019-07-17,1.219,-0.0738
2019-07-18,1.197,-1.8048
2019-07-19,1.2104,1.1195
2019-07-22,1.1905,-1.6441
2019-07-23,1.1992,0.7308
