datetime,open
2016-01-07,1.866
2016-01-08,1.896
2016-01-11,1.779
2016-01-12,1.786
2016-01-13,1.725
2016-01-14,1.782
2016-01-15,1.722
2016-01-18,1.743
2016-01-19,1.803
2016-01-20,1.784
2016-01-21,1.719
2016-01-22,1.747
2016-01-25,1.765
2016-01-26,1.644
2016-01-27,1.63
2016-01-28,1.562
2016-01-29,1.617
2016-02-01,1.605
2016-02-02,1.658
2016-02-03,1.666
2016-02-04,1.696
2016-02-05,1.68
2016-02-15,1.68
2016-02-16,1.744
2016-02-17,1.76
2016-02-18,1.755
2016-02-19,1.762
2016-02-22,1.793
2016-02-23,1.782
2016-02-24,1.797
2016-02-25,1.66
2016-02-26,1.672
2016-02-29,1.597
2016-03-01,1.632
2016-03-02,1.71
2016-03-03,1.711
2016-03-04,1.668
2016-03-07,1.702
2016-03-08,1.709
2016-03-09,1.672
2016-03-10,1.647
2016-03-11,1.646
2016-03-14,1.701
2016-03-15,1.691
2016-03-16,1.673
2016-03-17,1.727
2016-03-18,1.781
2016-03-21,1.82
2016-03-22,1.815
2016-03-23,1.827
2016-03-24,1.804
2016-03-25,1.817
2016-03-28,1.806
2016-03-29,1.773
2016-03-30,1.835
2016-03-31,1.837
2016-04-01,1.828
2016-04-05,1.872
2016-04-06,1.885
2016-04-07,1.855
2016-04-08,1.841
2016-04-11,1.879
2016-04-12,1.865
2016-04-13,1.889
2016-04-14,1.905
2016-04-15,1.902
2016-04-18,1.878
2016-04-19,1.883
2016-04-20,1.81
2016-04-21,1.799
2016-04-22,1.81
2016-04-25,1.804
2016-04-26,1.821
2016-04-27,1.819
2016-04-28,1.814
2016-04-29,1.813
2016-05-03,1.862
2016-05-04,1.862
2016-05-05,1.868
2016-05-06,1.804
2016-05-09,1.75
2016-05-10,1.755
2016-05-11,1.756
2016-05-12,1.761
2016-05-13,1.758
2016-05-16,1.787
2016-05-17,1.78
2016-05-18,1.735
2016-05-19,1.74
2016-05-20,1.758
2016-05-23,1.779
2016-05-24,1.763
2016-05-25,1.754
2016-05-26,1.76
2016-05-27,1.76
2016-05-30,1.752
2016-05-31,1.821
2016-06-01,1.826
2016-06-02,1.838
2016-06-03,1.846
2016-06-06,1.85
2016-06-07,1.847
2016-06-08,1.842
2016-06-13,1.765
2016-06-14,1.766
2016-06-15,1.817
2016-06-16,1.807
2016-06-17,1.821
2016-06-20,1.827
2016-06-21,1.81
2016-06-22,1.837
2016-06-23,1.83
2016-06-24,1.811
2016-06-27,1.852
2016-06-28,1.871
2016-06-29,1.875
2016-06-30,1.879
2016-07-01,1.882
2016-07-04,1.924
2016-07-05,1.94
2016-07-06,1.947
2016-07-07,1.953
2016-07-08,1.948
2016-07-11,1.943
2016-07-12,1.968
2016-07-13,1.994
2016-07-14,1.998
2016-07-15,1.996
2016-07-18,1.995
2016-07-19,1.996
2016-07-20,1.996
2016-07-21,2.009
2016-07-22,1.99
2016-07-25,1.994
2016-07-26,2.021
2016-07-27,1.942
2016-07-28,1.951
2016-07-29,1.939
2016-08-01,1.921
2016-08-02,1.939
2016-08-03,1.953
2016-08-04,1.96
2016-08-05,1.953
2016-08-08,1.977
2016-08-09,1.991
2016-08-10,1.982
2016-08-11,1.957
2016-08-12,1.98
2016-08-15,2.024
2016-08-16,2.029
2016-08-17,2.037
2016-08-18,2.04
2016-08-19,2.045
2016-08-22,2.025
2016-08-23,2.024
2016-08-24,2.028
2016-08-25,2.018
2016-08-26,2.026
2016-08-29,2.036
2016-08-30,2.037
2016-08-31,2.042
2016-09-01,2.026
2016-09-02,2.019
2016-09-05,2.034
2016-09-06,2.064
2016-09-07,2.062
2016-09-08,2.068
2016-09-09,2.058
2016-09-12,2.011
2016-09-13,2.015
2016-09-14,2.0
2016-09-19,2.022
2016-09-20,2.024
2016-09-21,2.027
2016-09-22,2.045
2016-09-23,2.039
2016-09-26,2.005
2016-09-27,2.021
2016-09-28,2.02
2016-09-29,2.026
2016-09-30,2.034
2016-10-10,2.067
2016-10-11,2.074
2016-10-12,2.07
2016-10-13,2.07
2016-10-14,2.072
2016-10-17,2.057
2016-10-18,2.085
2016-10-19,2.079
2016-10-20,2.084
2016-10-21,2.077
2016-10-24,2.097
2016-10-25,2.106
2016-10-26,2.095
2016-10-27,2.094
2016-10-28,2.076
2016-10-31,2.075
2016-11-01,2.09
2016-11-02,2.075
2016-11-03,2.081
2016-11-04,2.073
2016-11-07,2.081
2016-11-08,2.09
2016-11-09,2.075
2016-11-10,2.102
2016-11-11,2.114
2016-11-14,2.118
2016-11-15,2.128
2016-11-16,2.131
2016-11-17,2.131
2016-11-18,2.123
2016-11-21,2.123
2016-11-22,2.143
2016-11-23,2.134
2016-11-24,2.129
2016-11-25,2.138
2016-11-28,2.147
2016-11-29,2.132
2016-11-30,2.126
2016-12-01,2.146
2016-12-02,2.116
2016-12-05,2.111
2016-12-06,2.11
2016-12-07,2.135
2016-12-08,2.122
2016-12-09,2.121
2016-12-12,2.041
2016-12-13,2.053
2016-12-14,2.038
2016-12-15,2.048
2016-12-16,2.063
2016-12-19,2.065
2016-12-20,2.057
2016-12-21,2.068
2016-12-22,2.065
2016-12-23,2.046
2016-12-26,2.049
2016-12-27,2.047
